id,value,type
beckhoff ipc diagnostics,0.0,1
newphoria corporation applican,0.0,1
node invite project node invite,0.0,1
amazon aws project amazon aws,0.0,1
corner project corner,0.0,1
niif shibboleth authentication,0.0,1
quizzler project quizzler,0.0,1
microsoft edge,0.0,1
adobe acrobat,0.0,1
adobe acrobat reader dc,0.0,1
adobe acrobat reader,0.0,1
aas9 zerocms,0.0,1
siemens ruggedcom win5200,0.0,1
dena h20,0.0,1
simon tatham putty,0.0,1
tcpdump tcpdump,0.0,1
boxoft boxoft wav to mp3 converter,0.0,1
siemens spcanywhere,0.0,1
siemens simotion scout,0.0,1
cisco firepower,0.0,1
joomla joomla%21,0.0,1
kent-web joyful note,0.0,1
kent-web clip board,0.0,1
fca uconnect,0.0,1
solarwinds n-able n-central,0.0,1
octobercms october,0.0,1
synck graphica mailform pro cgi,0.0,1
zen-cart.jp zen cart,0.0,1
squid-cache squid,0.0,1
crear.ne.jp al-mail32,0.0,1
iij seil%2fb1,0.0,1
checkpw project checkpw,0.0,1
toshiba service station,0.0,1
chaos tool suite project ctools,0.0,1
sap mobile platform,0.0,1
opsview opsview,0.0,1
gnu gnu screen,0.0,1
iojs io.js,0.0,1
openstack glance,0.0,1
emc documentum centerstage,0.0,1
"('LOCAL', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",6.8,0
sap netweaver,0.0,1
sap afaria,0.0,1
emc isilon onefs,0.0,1
emc recoverpoint for virtual machines,0.0,1
emc avamar server virtual edition,0.0,1
piriform ccleaner,0.0,1
microsoft office web apps server,0.0,1
microsoft sharepoint foundation,0.0,1
microsoft windows 8.1,0.0,1
dell sonicwall global management system,0.0,1
sap hana,0.0,1
webservice-dic yoyaku,0.0,1
seeds acmailer,0.0,1
lemon-s php simple oekaki,0.0,1
welcart welcart,0.0,1
sysphonic thetis,0.0,1
research-artisan research artisan lite,0.0,1
lemon-s php gazou bbs plus,0.0,1
se html5 album audio player project se html5 album audio player,0.0,1
hp hp-ux,0.0,1
nextend facebook connect,0.0,1
zohocorp manageengine netflow analyzer,0.0,1
hp thinpro linux,0.0,1
hp webinspect,0.0,1
ibm business process manager,0.0,1
hp integrated lights-out 3 firmware,0.0,1
hp sdn van controller,0.0,1
hp nonstop safeguard security,0.0,1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'PARTIAL')",8.7,0
hp sitescope,0.0,1
hp network virtualization,0.0,1
sap sap netweaver application server java,0.0,1
alcatel-lucent omniswitch 6860,0.0,1
redhat enterprise virtualization manager,0.0,1
"('LOCAL', 'HIGH', 'NONE', 'NONE', 'PARTIAL')",4.7,0
synology diskstation manager,0.0,1
oracle glassfish,0.0,1
cisco telepresence isdn gw 3241,0.0,1
cisco telepresence serial gateway,0.0,1
cisco telepresence ip vcr 3.0,0.0,1
cisco telepresence mcu software,0.0,1
cisco telepresence advanced media gateway,0.0,1
cisco telepresence mse 8000 series,0.0,1
cisco unified computing system,0.0,1
sysaid sysaid,0.0,1
citrix netscaler gateway firmware,0.0,1
wpslideshow powerplay gallery,0.0,1
emc powerpath virtual appliance,0.0,1
siemens homecontrol for room automation,0.0,1
